,task_00,task_01,task_02,task_03,task_04,task_05,task_06,task_07,task_08,task_09
after_task_00,0.7422222222222222,,,,,,,,,
after_task_01,0.0,0.7866666666666666,,,,,,,,
after_task_02,0.0,0.0,0.92,,,,,,,
after_task_03,0.0,0.0022222222222222222,0.0,0.8511111111111112,,,,,,
after_task_04,0.02,0.0044444444444444444,0.042222222222222223,0.022222222222222223,0.8555555555555555,,,,,
after_task_05,0.05555555555555555,0.07333333333333333,0.051111111111111114,0.017777777777777778,0.13111111111111112,0.8933333333333333,,,,
after_task_06,0.05555555555555555,0.07333333333333333,0.03777777777777778,0.08222222222222222,0.1111111111111111,0.18666666666666668,0.8733333333333333,,,
after_task_07,0.10888888888888888,0.07555555555555556,0.11555555555555555,0.12666666666666668,0.11333333333333333,0.2,0.06666666666666667,0.8377777777777777,,
after_task_08,0.14444444444444443,0.14666666666666667,0.14,0.1511111111111111,0.23333333333333334,0.2,0.11333333333333333,0.24222222222222223,0.9066666666666666,
after_task_09,0.19111111111111112,0.1622222222222222,0.15555555555555556,0.18888888888888888,0.24666666666666667,0.22,0.14222222222222222,0.24888888888888888,0.18444444444444444,0.8044444444444444
