seed,method,final_average_accuracy,avg_forgetting_including_final,avg_forgetting_excluding_final,memory_examples,epochs
1,replay_frozen,0.7775555555555556,0.15199999999999994,0.1688888888888888,3000,3
1,mtm_no_fast_90_10,0.7891111111111111,0.13399999999999995,0.14888888888888882,3000,3
2,replay_frozen,0.7724444444444445,0.15733333333333333,0.1748148148148148,3000,3
2,mtm_no_fast_90_10,0.7791111111111111,0.1462222222222222,0.1624691358024691,3000,3
3,replay_frozen,0.778888888888889,0.15733333333333324,0.1748148148148147,3000,3
3,mtm_no_fast_90_10,0.7864444444444445,0.1386666666666666,0.154074074074074,3000,3
4,replay_frozen,0.7871111111111111,0.14599999999999994,0.16222222222222216,3000,3
4,mtm_no_fast_90_10,0.7891111111111112,0.12822222222222218,0.14246913580246912,3000,3
5,replay_frozen,0.7939999999999999,0.14066666666666663,0.15629629629629627,3000,3
5,mtm_no_fast_90_10,0.7815555555555556,0.14355555555555552,0.15950617283950613,3000,3
